"자치구","안심 주소","CCTV 용도","위도","경도","CCTV 수량","수정 일시"
"강서구","P253001(A5002)_화곡1동 908-9(호돌이 공원)","도심공원","37.528107","126.84598","1","2021-01-29"
"강서구","P303005_화곡8동 892-17(모태어린이공원)","도심공원","37.52947230596919","126.84962119449848","1","2021-01-29"
"강서구","P263002_화곡2동 883-3 하마터어린이공원","도심공원","37.529998475702186","126.8534461385755","1","2021-01-29"
"강서구","P263001_화곡2동 845-19 뜸부기어린이공원","도심공원","37.530087","126.856926","1","2021-01-29"
"강서구","P253005_화곡1동 355-12(필마어린이공원)","도심공원","37.53159999401031","126.8387571822682","1","2021-01-29"
"강서구","P253005_화곡1동 355-12(필마어린이공원)(보조1)","도심공원","37.53159999401031","126.8387571822682","1","2021-01-29"
"강서구","P303002_화곡8동 341-24_배다리공원 - 카메라 1","도심공원","37.53208","126.84817","1","2021-01-29"
"강서구","P263003_화곡2동 865-1(골말어린이공원)","도심공원","37.533318724063356","126.85618637975429","1","2021-01-29"
"강서구","P253003_화곡1동 354-14 까치어린이공원","도심공원","37.53354","126.84199","1","2021-01-29"
"강서구","P283001_(A3007)화곡4동 806-10(무지개공원)","도심공원","37.533863","126.861244","1","2021-01-29"
"강서구","P303004_화곡동 339-19 더부리어린이공원 - 카메라 1","도심공원","37.53497","126.84667","1","2021-01-29"
"강서구","P253004_화곡1동 372-26 월정어린이공원","도심공원","37.535236","126.83588","1","2021-01-29"
"강서구","P283002_화곡동 819-5 종달새어린이공원","도심공원","37.5354","126.858185","1","2021-01-29"
"강서구","P253002_화곡1동 369-11 은행어린이공원","도심공원","37.535706","126.84044","1","2021-01-29"
"강서구","P303003_화곡동 155-1 안골어린이공원","도심공원","37.53594555793949","126.85072797749488","1","2021-01-29"
"강서구","P283004_화곡4동 468-1(능골어린이공원)","도심공원","37.53673125397755","126.85511853708172","1","2021-01-29"
"강서구","P313004_까치산근린공원2","도심공원","37.53718","126.84319","1","2021-01-29"
"강서구","P303001_(A3019)대무공원 (화곡8동 409-57)","도심공원","37.53825","126.84769","1","2021-01-29"
"강서구","P283006_화곡4동 산22-87(신곡초교인근공원)(보조1)","도심공원","37.53832711777505","126.85520666501253","1","2021-01-29"
"강서구","P283006_화곡4동 산22-87(신곡초교인근공원)","도심공원","37.53834289058768","126.8552065291902","1","2021-01-29"
"강서구","P283003_화곡동 산22-83(봉제산근린공원)","도심공원","37.53883302283684","126.85212349571985","1","2021-01-29"
"강서구","P283003_화곡동 산22-83(봉제산근린공원)(보조1)","도심공원","37.53883302283684","126.85212349571985","1","2021-01-29"
"강서구","P283005_화곡4동 산5-5 (장수동산 개방화장실인근)(보조2)","도심공원","37.5397592032977","126.85873727564026","1","2021-01-29"
"강서구","P283005_화곡4동 산5-5 (장수동산 개방화장실인근)(보조1)","도심공원","37.5397749607506","126.85873431085872","1","2021-01-29"
"강서구","P283005_화곡4동 산5-5 (장수동산 개방화장실인근)","도심공원","37.5397817051636","126.85873142326844","1","2021-01-29"
"강서구","P313007_화곡본동 61-96(비둘기어린이공원)","도심공원","37.54150860761501","126.84695843043393","1","2021-01-29"
"강서구","P313007_화곡본동 61-96(비둘기어린이공원)(보조1)","도심공원","37.54150860761501","126.84695843043393","1","2021-01-29"
"강서구","P313010_화곡본동 산41-6(자연체험학습원 어린이놀이터)(보조2)","도심공원","37.54185540283581","126.85141533547264","1","2021-01-29"
"강서구","P313010_화곡본동 산41-6(자연체험학습원 어린이놀이터)(보조1)","도심공원","37.54187788876569","126.85140665096114","1","2021-01-29"
"강서구","P313013_화곡본동 산22-80(화곡배수지앞)","도심공원","37.54188482343728","126.8546965372776","1","2021-01-29"
"강서구","P313010_화곡본동 산41-6(자연체험학습원 어린이놀이터)","도심공원","37.541893630470476","126.85140085477714","1","2021-01-29"
"강서구","P313002(A5032)_(공원)_봉제산공원 배드민턴장","도심공원","37.541960417795906","126.85495464230494","1","2021-01-29"
"강서구","P313012_화곡본동 산42-9(보조2)(봉제산다목적구장앞)","도심공원","37.5421414","126.853393","1","2021-01-29"
"강서구","P313012_화곡본동 산42-9(봉제산다목적구장앞)","도심공원","37.5421414","126.853393","1","2021-01-29"
"강서구","P313012_화곡본동 산42-9(보조1)(봉제산다목적구장앞)","도심공원","37.542141426173366","126.8533931553925","1","2021-01-29"
"강서구","P313001(A5031)_(공원)봉제산공원 화장실(화곡동 산 42-7)","도심공원","37.54235742445193","126.85236050272658","1","2021-01-29"
"강서구","P163002_등촌2동 560-26(등마초교인근 신설공원)(보조1)","도심공원","37.542437464947","126.86104902714214","1","2021-01-29"
"강서구","P163002_등촌2동 560-26(등마초교인근 신설공원)","도심공원","37.542446477986815","126.86104895022122","1","2021-01-29"
"강서구","P313006_화곡본동 98-22(구름어린이공원)","도심공원","37.54331125163344","126.84410425731398","1","2021-01-29"
"강서구","P313009_화곡본동 46-41(큰별어린이공원)","도심공원","37.54448697250942","126.84889364305093","1","2021-01-29"
"강서구","P313011_화곡본동 산47-16(봉제경로당앞)(보조1)","도심공원","37.54570745859449","126.85201872370419","1","2021-01-29"
"강서구","P313011_화곡본동 산47-16(봉제경로당앞)","도심공원","37.545716502672874","126.85202430552046","1","2021-01-29"
"강서구","P293002_화곡6동 42-125(오리나무쉼터)","도심공원","37.54595253922953","126.85480138158355","1","2021-01-29"
"강서구","P313008_화곡본동 24-128(꿈돌이어린이공원)","도심공원","37.54595337391248","126.8455357584442","1","2021-01-29"
"강서구","P163001_등촌2동 517-1(능안어린이공원)","도심공원","37.54634687080136","126.86018361704734","1","2021-01-29"
"강서구","P273002_화곡3동 1139-1(천사어린이공원)","도심공원","37.54670356397551","126.83302021676638","1","2021-01-29"
"강서구","P273001_화곡3동 1008-32(미리내어린이공원)","도심공원","37.54766396518465","126.83470124211246","1","2021-01-29"
"강서구","P243001_(A3010)(공원)개나리공원(우장산동 75-3)","도심공원","37.54832","126.84407","1","2021-01-29"
"강서구","P243003_우장산동(화곡동) 산60-1 (우장근린공원 다목적운동장)(보조1)","도심공원","37.54942179525143","126.84440731850094","1","2021-01-29"
"강서구","P243003_우장산동(화곡동) 산60-1 (우장근린공원 다목적운동장)","도심공원","37.549433030073494","126.84440155971485","1","2021-01-29"
"강서구","P243002_화곡동 산 60-1(우장근린공원 축구장)","도심공원","37.55017435811362","126.84480261778753","1","2021-01-29"
"강서구","P243002_화곡동 산 60-1(우장근린공원 축구장)(보조1)","도심공원","37.55017435811362","126.84480261778753","1","2021-01-29"
"강서구","P293001_화곡6동 980-2 백연어린이공원(녹지과)","도심공원","37.55067","126.85188","1","2021-01-29"
"강서구","P193001_(A5003)(공원)발음공원(내발산동 697)","도심공원","37.552284","126.83329","1","2021-01-29"
"강서구","P243005_우장산동(화곡동) 산60-1(보조1)(우장산힐링센터 앞)","도심공원","37.5527846","126.843271","1","2021-01-29"
"강서구","P243005_우장산동(화곡동) 산60-1(보조2)(우장산힐링센터 앞)","도심공원","37.5527846","126.843271","1","2021-01-29"
"강서구","P243005_우장산동(화곡동) 산60-1(우장산힐링센터 앞)","도심공원","37.55278460219256","126.84327109479041","1","2021-01-29"
"강서구","P243006_우장산동(내발산동) 산19-1(보조1)(우장산책로입구)","도심공원","37.55325735252568","126.84258200520504","1","2021-01-29"
"강서구","P243008_우장산동(내발산동) 산4-5(검덕산주창장입구)","도심공원","37.55425308310691","126.84346115481568","1","2021-01-29"
